-181.168, 72.825, 2.240,  4.603
-181.165, 72.750, 2.247,  4.636
-181.163, 72.675, 2.255,  4.669
-181.160, 72.599, 2.262,  4.702
-181.158, 72.523, 2.269,  4.735
-181.157, 72.447, 2.277,  4.768
-181.155, 72.371, 2.284,  4.801
-181.154, 72.294, 2.292,  4.834
-181.152, 72.218, 2.299,  4.867
-181.152, 72.141, 2.307,  4.900
-181.151, 72.063, 2.314,  4.933
-181.150, 71.986, 2.322,  4.966
-181.150, 71.908, 2.330,  4.999
-181.150, 71.830, 2.337,  5.032
-181.150, 71.752, 2.345,  5.065
-181.150, 71.673, 2.352,  5.098
-181.150, 71.594, 2.360,  5.131
-181.151, 71.515, 2.368,  5.164
-181.152, 71.436, 2.375,  5.197
-181.153, 71.357, 2.383,  5.230
-181.154, 71.277, 2.391,  5.263
-181.155, 71.197, 2.399,  5.296
-181.156, 71.117, 2.407,  5.329
-181.158, 71.036, 2.414,  5.362
-181.159, 70.955, 2.422,  5.395
-181.161, 70.874, 2.430,  5.428
-181.163, 70.793, 2.438,  5.461
-181.165, 70.712, 2.446,  5.494
-181.167, 70.630, 2.454,  5.527
-181.169, 70.548, 2.462,  5.560
-181.171, 70.465, 2.469,  5.593
-181.173, 70.383, 2.478,  5.626
-181.176, 70.300, 2.486,  5.659
-181.178, 70.217, 2.494,  5.692
-181.180, 70.134, 2.502,  5.725
-181.183, 70.050, 2.510,  5.758
-181.186, 69.966, 2.518,  5.791
-181.188, 69.882, 2.526,  5.824
-181.191, 69.798, 2.534,  5.857
-181.194, 69.713, 2.543,  5.890
-181.197, 69.628, 2.551,  5.923
-181.200, 69.543, 2.559,  5.956
-181.203, 69.457, 2.567,  5.989
-181.206, 69.372, 2.576,  6.022
-181.209, 69.286, 2.584,  6.055
-181.212, 69.199, 2.592,  6.088
-181.215, 69.113, 2.601,  6.121
-181.218, 69.026, 2.609,  6.154
-181.222, 68.939, 2.618,  6.187
-181.225, 68.851, 2.626,  6.220
-181.228, 68.763, 2.635,  6.253
-181.231, 68.675, 2.644,  6.286
-181.234, 68.587, 2.652,  6.319
-181.238, 68.499, 2.661,  6.352
-181.241, 68.410, 2.669,  6.385
-181.244, 68.321, 2.678,  6.418
-181.247, 68.231, 2.687,  6.451
-181.250, 68.141, 2.696,  6.484
-181.253, 68.051, 2.705,  6.517
